year,month,decimal_date,monthly_average,de_seasonalized,num_days,std_dev,uncertainty
1958,7.5,1958.58,315.232,315.29200000000003,-1.0,-9.99,-0.99
1959,6.5,1959.4972583333335,315.98083333333335,315.9775,-1.0,-9.99,-0.9899999999999999
1960,6.5,1960.4981916666666,316.91,316.90749999999997,-1.0,-9.99,-0.9899999999999999
1961,6.5,1961.4972583333335,317.64416666666665,317.6408333333333,-1.0,-9.99,-0.9899999999999999
1962,6.5,1962.4972583333335,318.45416666666665,318.4483333333333,-1.0,-9.99,-0.9899999999999999
1963,6.5,1963.4972583333335,318.9925,318.9866666666667,-1.0,-9.99,-0.9899999999999999
1964,6.5,1964.4981916666666,319.6166666666667,319.61083333333335,-1.0,-9.99,-0.9899999999999999
1965,6.5,1965.4972583333335,320.0358333333333,320.02916666666664,-1.0,-9.99,-0.9899999999999999
1966,6.5,1966.4972583333335,321.3691666666667,321.3625,-1.0,-9.99,-0.9899999999999999
1967,6.5,1967.4972583333335,322.18083333333334,322.175,-1.0,-9.99,-0.9899999999999999
1968,6.5,1968.4981916666666,323.05,323.0475,-1.0,-9.99,-0.9899999999999999
1969,6.5,1969.4972583333335,324.62333333333333,324.6166666666667,-1.0,-9.99,-0.9899999999999999
1970,6.5,1970.4972583333335,325.6816666666667,325.6766666666667,-1.0,-9.99,-0.9899999999999999
1971,6.5,1971.4972583333335,326.31916666666666,326.315,-1.0,-9.99,-0.9899999999999999
1972,6.5,1972.4981916666666,327.45666666666665,327.45416666666665,-1.0,-9.99,-0.9899999999999999
1973,6.5,1973.4972583333335,329.6775,329.67249999999996,-1.0,-9.99,-0.9899999999999999
1974,6.5,1974.4992333333332,330.19083333333333,330.2083333333333,15.416666666666666,-3.11,-0.24250000000000002
1975,6.5,1975.5,331.12833333333333,331.13,20.666666666666668,-0.4483333333333333,0.155
1976,6.5,1976.5,332.0266666666667,332.02916666666664,19.0,0.4608333333333334,0.2041666666666667
1977,6.5,1977.5,333.8441666666667,333.8433333333333,21.166666666666668,0.39083333333333337,0.16416666666666666
1978,6.5,1978.5,335.415,335.4141666666667,21.916666666666668,0.4275,0.17666666666666667
1979,6.5,1979.5,336.835,336.8358333333333,23.25,0.4825,0.19166666666666665
1980,6.5,1980.5,338.7625,338.765,23.333333333333332,0.49416666666666664,0.2041666666666667
1981,6.5,1981.5,340.12,340.12,25.5,0.41083333333333333,0.15666666666666668
1982,6.5,1982.5,341.4791666666667,341.47749999999996,23.333333333333332,0.425,0.17833333333333334
1983,6.5,1983.5,343.1525,343.15166666666664,22.583333333333332,0.45916666666666667,0.18833333333333335
1984,6.5,1984.5,344.86833333333334,344.86833333333334,16.25,-0.45333333333333337,0.18000000000000002
1985,6.5,1985.5,346.3516666666667,346.34999999999997,20.25,0.4466666666666666,0.19000000000000003
1986,6.5,1986.5,347.6075,347.6066666666666,20.416666666666668,0.41250000000000003,0.17833333333333334
1987,6.5,1987.5,349.31166666666667,349.3141666666666,22.833333333333332,0.4816666666666667,0.1991666666666667
1988,6.5,1988.5,351.69,351.69083333333333,25.916666666666668,0.43,0.1625
1989,6.5,1989.5,353.205,353.205,26.416666666666668,0.4583333333333333,0.1708333333333333
1990,6.5,1990.5,354.45250000000004,354.45166666666665,27.0,0.505,0.18583333333333332
1991,6.5,1991.5,355.70416666666665,355.7033333333334,27.583333333333332,0.44333333333333336,0.16083333333333333
1992,6.5,1992.5,356.54583333333335,356.54583333333335,27.333333333333332,0.5908333333333333,0.22
1993,6.5,1993.5,357.215,357.21416666666664,27.5,0.5066666666666667,0.1875
1994,6.5,1994.5,358.9591666666667,358.96000000000004,27.416666666666668,0.46416666666666667,0.17
1995,6.5,1995.5,360.9683333333333,360.96583333333336,27.75,0.5041666666666667,0.18416666666666667
1996,6.5,1996.5,362.74333333333334,362.7425,28.666666666666668,0.4725,0.1691666666666667
1997,6.5,1997.5,363.8766666666666,363.8766666666666,27.416666666666668,0.4458333333333333,0.165
1998,6.5,1998.5,366.84,366.83916666666664,28.0,0.4775,0.1725
1999,6.5,1999.5,368.53999999999996,368.53999999999996,26.583333333333332,0.5016666666666667,0.18666666666666668
2000,6.5,2000.5,369.7075,369.7075,26.666666666666668,0.40166666666666667,0.14916666666666667
2001,6.5,2001.5,371.31916666666666,371.3183333333333,27.083333333333332,0.4708333333333334,0.17333333333333334
2002,6.5,2002.5,373.45250000000004,373.45250000000004,27.75,0.5625,0.2058333333333333
2003,6.5,2003.5,375.98333333333335,375.98333333333335,27.25,0.5066666666666667,0.18666666666666668
2004,6.5,2004.5,377.6983333333333,377.6975,25.416666666666668,0.52,0.19999999999999998
2005,6.5,2005.5,379.98333333333335,379.9825,25.916666666666668,0.48666666666666664,0.18416666666666667
2006,6.5,2006.5,382.09083333333336,382.08916666666664,25.833333333333332,0.4266666666666667,0.16083333333333336
2007,6.5,2007.5,384.02500000000003,384.02416666666664,25.25,0.5325000000000001,0.20666666666666667
2008,6.5,2008.5,385.83166666666665,385.8308333333334,24.916666666666668,0.5650000000000001,0.2333333333333333
2009,6.5,2009.5,387.6425,387.6425,27.5,0.5058333333333334,0.18416666666666667
2010,6.5,2010.5,390.1016666666667,390.1016666666667,27.583333333333332,0.6325,0.23583333333333334
2011,6.5,2011.5,391.85083333333336,391.85083333333336,27.833333333333332,0.5558333333333333,0.20083333333333334
2012,6.5,2012.5,394.05583333333334,394.055,28.416666666666668,0.5591666666666667,0.20083333333333334
2013,6.5,2013.5,396.7375,396.7366666666667,26.75,0.48583333333333334,0.18083333333333332
2014,6.5,2014.5,398.8125,398.81333333333333,25.333333333333332,0.5233333333333333,0.2025
2015,6.5,2015.5,401.0116666666667,401.0125,27.25,0.6075,0.22333333333333336
2016,6.5,2016.5,404.41249999999997,404.41333333333336,26.666666666666668,0.6666666666666666,0.25
2017,6.5,2017.5,406.7583333333334,406.7575,26.916666666666668,0.5808333333333333,0.21583333333333332
2018,6.5,2018.5,408.715,408.71583333333336,27.583333333333332,0.555,0.20583333333333334
2019,6.5,2019.5,411.64916666666664,411.65000000000003,27.666666666666668,0.6308333333333334,0.23083333333333333
2020,6.5,2020.5,414.2108333333333,414.21166666666664,28.0,0.5083333333333333,0.18500000000000003
2021,6.5,2021.5,416.41333333333336,416.4141666666667,28.0,0.6591666666666667,0.24
2022,6.5,2022.5,418.52833333333336,418.52666666666664,27.916666666666668,0.5866666666666667,0.21250000000000002
2023,6.5,2023.5,421.08,421.08,25.0,0.5858333333333333,0.22583333333333333
